onset	duration	condition_code	target_code	trial_type
20.0556865	17.56379	2	2	countdown
37.6194765	0.9765115	2	2	go_cue
57.3154536	17.5643622	3	1	countdown
74.8798158	0.9762629	3	1	go_cue
94.5560861	17.5436957	4	3	countdown
112.0997818	0.9761522	4	3	go_cue
131.7947436	17.5445439	1	1	countdown
149.3392875	0.9766547	1	1	go_cue
169.035432	17.5645442	3	4	countdown
186.5999762	0.9758108	3	4	go_cue
205.2949556	17.5640856	1	1	countdown
222.8590412	0.9768848	1	1	go_cue
242.0154632	17.5639769	2	2	countdown
259.5794401	0.9765318	2	2	go_cue
277.2752018	17.5645857	4	2	countdown
294.8397875	0.9759759	4	2	go_cue
314.5157736	17.5435265	3	2	countdown
332.0593001	0.9764022	3	2	go_cue
350.7546587	17.5646041	1	3	countdown
368.3192628	0.9760803	1	3	go_cue
385.4947903	17.5443921	4	1	countdown
403.0391824	0.9755543	4	1	go_cue
421.7345353	17.5640475	2	2	countdown
439.2985828	0.9767909	2	2	go_cue
