onset	duration	condition_code	target_code	trial_type
20.0598459	17.5630792	2	3	countdown
37.6229251	0.9756259	2	3	go_cue
54.7978312	17.5658788	4	1	countdown
72.36371	0.9752341	4	1	go_cue
91.0573303	17.5457382	1	2	countdown
108.6030685	0.9752941	1	2	go_cue
126.297698	17.5661404	3	1	countdown
143.8638384	0.974372	3	1	go_cue
163.5572826	17.5656953	2	2	countdown
181.1229779	0.9754656	2	2	go_cue
199.7996855	17.5637213	1	1	countdown
217.3634068	0.9750464	1	1	go_cue
237.0575857	17.5658645	3	1	countdown
254.6234502	0.9749201	3	1	go_cue
272.2999428	17.5636372	4	3	countdown
289.86358	0.9746561	4	3	go_cue
308.557205	17.5657422	2	4	countdown
326.1229472	0.9751539	2	4	go_cue
345.279567	17.5632525	1	4	countdown
362.8428195	0.9760255	1	4	go_cue
380.0175519	17.5658836	4	3	countdown
397.5834355	0.9747886	4	3	go_cue
416.2597261	17.5637416	3	4	countdown
433.8234677	0.9746869	3	4	go_cue
