onset	duration	condition_code	target_code	trial_type
20.0569975	17.5632912	3	1	countdown
37.6202887	0.9765878	3	1	go_cue
55.3159081	17.5640666	1	3	countdown
72.8799747	0.9765701	1	3	go_cue
92.056258	17.5637859	4	2	countdown
109.6200439	0.9770643	4	2	go_cue
129.3158766	17.5639246	2	4	countdown
146.8798012	0.9769251	2	4	go_cue
164.556286	17.563259	2	1	countdown
182.119545	0.9771125	2	1	go_cue
201.8161221	17.5623748	4	4	countdown
219.3784969	0.9772701	4	4	go_cue
238.0564592	17.5625592	3	3	countdown
255.6190184	0.9768594	3	3	go_cue
274.3156587	17.5640696	1	3	countdown
291.8797283	0.9767014	1	3	go_cue
309.0360561	17.5631227	2	4	countdown
326.5991788	0.9771866	2	4	go_cue
344.7754584	17.564515	3	2	countdown
362.3399734	0.9762395	3	2	go_cue
380.0162598	17.543682	4	2	countdown
397.5599418	0.9761133	4	2	go_cue
417.2552583	17.5643727	1	4	countdown
434.819631	0.9766774	1	4	go_cue
